game_id,player_win,player_hand_value,dealer_hand_value,dealer_bust
0,1,14,25,1
1,0,29,25,1
2,0,26,24,1
3,0,28,17,0
4,0,27,20,0
5,0,22,17,0
6,0,25,23,1
7,0,30,17,0
8,0,26,24,1
9,0,26,20,0
10,0,22,18,0
11,0,28,20,0
12,0,29,22,1
13,0,24,24,1
14,0,27,18,0
15,0,14,19,0
16,0,25,26,1
17,0,26,20,0
18,0,25,17,0
19,0,23,18,0
20,0,23,18,0
21,0,22,20,0
22,0,22,21,0
23,0,16,21,0
24,0,14,20,0
25,1,15,22,1
26,0,27,21,0
27,0,27,20,0
28,0,29,20,0
29,0,24,18,0
30,0,16,20,0
31,0,22,17,0
32,0,27,20,0
33,0,27,19,0
34,0,27,23,1
35,0,26,17,0
36,0,22,17,0
37,0,23,18,0
38,0,14,18,0
39,0,27,22,1
40,0,27,23,1
41,0,15,19,0
42,0,14,20,0
43,0,28,21,0
44,0,24,18,0
45,0,31,18,0
46,0,16,21,0
47,0,14,18,0
48,0,30,20,0
49,0,29,23,1
