player_win,dealer_win,push,dealer_bust,player_hand_value,dealer_hand_value,player_hand,dealer_hand
0,1,0,0,17,18,"{'10': 1, '7': 1}","{'8': 1, 'queen': 1}"
1,0,0,0,19,17,"{'9': 1, '10': 1}","{'queen': 1, '7': 1}"
1,0,0,0,18,17,{'9': 2},"{'queen': 1, '7': 1}"
1,0,0,0,19,17,"{'6': 1, '8': 1, '5': 1}","{'queen': 1, '7': 1}"
0,1,0,0,18,20,"{'8': 1, '7': 1, '3': 1}","{'7': 1, '5': 1, '8': 1}"
0,1,0,0,26,18,"{'7': 1, '5': 1, '4': 1, 'queen': 1}","{'8': 1, 'king': 1}"
0,1,0,0,17,20,"{'7': 1, 'jack': 1}","{'9': 1, 'ace': 1}"
1,0,0,0,19,18,"{'10': 1, '9': 1}","{'9': 1, '4': 1, '5': 1}"
1,0,0,0,21,17,"{'7': 1, '9': 1, '5': 1}","{'10': 1, '7': 1}"
0,1,0,0,18,20,"{'8': 1, '7': 1, '3': 1}","{'10': 1, '6': 1, '4': 1}"
1,0,0,1,17,22,"{'10': 1, '7': 1}","{'5': 1, '8': 1, '9': 1}"
1,0,0,1,17,22,"{'8': 1, '9': 1}","{'7': 1, '4': 1, '5': 1, '6': 1}"
1,0,0,1,15,24,"{'3': 1, '4': 1, '8': 1}","{'5': 1, '9': 1, 'jack': 1}"
1,0,0,0,21,18,"{'6': 1, '10': 1, '5': 1}","{'8': 1, 'queen': 1}"
1,0,0,1,18,22,"{'king': 1, '8': 1}","{'7': 1, '5': 1, '4': 1, '6': 1}"
1,0,0,0,19,18,"{'7': 2, '5': 1}","{'8': 1, '10': 1}"
1,0,0,0,18,17,"{'8': 1, '10': 1}","{'queen': 1, '7': 1}"
0,1,0,0,25,17,"{'8': 1, '7': 1, 'king': 1}","{'10': 1, '7': 1}"
0,0,1,0,19,19,"{'9': 1, '10': 1}","{'7': 1, '3': 1, '5': 1, '4': 1}"
0,1,0,0,23,20,"{'8': 2, '7': 1}","{'10': 1, 'queen': 1}"
1,0,0,1,18,26,"{'3': 1, '5': 1, '6': 1, '4': 1}","{'9': 1, '7': 1, 'queen': 1}"
0,1,0,0,24,16,"{'8': 1, '7': 1, '9': 1}","{'10': 1, '6': 1}"
0,0,1,0,19,19,"{'9': 1, '10': 1}","{'queen': 1, '9': 1}"
0,1,0,0,26,12,"{'9': 1, '7': 1, 'king': 1}","{'7': 1, '5': 1}"
1,0,0,0,21,18,"{'10': 1, '6': 1, '5': 1}","{'8': 1, '7': 1, '3': 1}"
0,0,1,0,17,17,"{'10': 1, '7': 1}","{'queen': 1, '7': 1}"
1,0,0,0,21,18,"{'8': 1, '7': 1, '6': 1}","{'king': 1, '8': 1}"
0,1,0,0,18,21,"{'king': 1, '8': 1}","{'5': 1, '7': 1, '9': 1}"
1,0,0,0,19,17,"{'9': 1, '5': 2}","{'king': 1, '7': 1}"
1,0,0,1,19,25,"{'9': 1, 'king': 1}","{'7': 1, '5': 1, '3': 1, '10': 1}"
1,0,0,0,18,17,"{'8': 1, '5': 2}","{'queen': 1, '7': 1}"
